filename,track_id,genre,lyrics
000002.wav,2,Hip-Hop,"To me welcome to McRop you You like the drive out you man We got a special step Plus a not peace deal That comes with a coat But then it could close Still off Bro, weigh and pull, place the stove Moving around So you spit like me Fire, wine, refinery Or sevey way Like green giant peas That's not the one Rapid up to go Pop toast keep the flame on low But pop toast got me cold and dope But five stars like the chef for a cream Who is hit big mac machines Tips for크�"
000005.wav,5,Hip-Hop,"It got me so it got me so I don't know what I'm gonna do Just push my cruise like me, I'm flowing track up with 10 awesome limbs You start with the innate jumping and won't even care if the U.N. says no Playin' American like I know they had a weapon though And facing all blocks of trouble to snow all year round Wrangler brothers clowns and others who work to your mother All right, nice vanilla giant best I still real life Edge and dice clay, newborns take me away"
000010.wav,10,Pop,"It's juvin', beaming, oh oh No, we'd get I seriously just don't Trust"
000140.wav,140,Folk,"Tire up a tight rope you have a souvenir A one day deep, lost a tear to the air Fell like a stone from trees and the spires Deep in the dream, by the wires Kult, K.K. Sh summation"
000141.wav,141,Folk,"We are the crew of the Naked Sound I reach for you and remember that You're these 2,000 miles from here The big head is still I don't know how to feel I'm looking for my own I wish I would be the first to leave"
000148.wav,148,Experimental,For moral of those animals we live on. A drink on make your inventory open. If you haven't read my text yet why we didn't go on come out of it...? You don't know to call me stupid!
000182.wav,182,Rock,[Instrumental]
000190.wav,190,Folk,That frightens the day Fill up your room in the milky way We just cross the burning lake A butterfly and a moon Set it the twilight
000193.wav,193,Folk,So now we are part 10 For a...
000194.wav,194,Folk,"I walk around New Haven, looking at the cars that drive around New Haven looking for a place to park All I wanted to do was get close to you"
000197.wav,197,Folk,[Instrumental]
000200.wav,200,Folk,"I'd like to shout it. Maybe I'm running away from here. Maybe I'm dreaming or maybe I really care. Maybe this song is like some movie. I've seen it before. But baby, I'd like to see you at my door."
000203.wav,203,Folk,"Baby, you know, I love you so."
000204.wav,204,Folk,Some are rented and the weathermen in the afternoon murdered the dream And the sound of the shot stopped the world at one o'clock And the mothers of September buried the dream
000207.wav,207,Folk,{\ consciousness {\ Black Onto {\anian buat
000210.wav,210,Folk,"So come and walk to school with me And when I hold you, we'll be free in America America on America America on America America on America"
000211.wav,211,Folk,"When I, when I arrive All my life, I have sensed For the child, and for"
000212.wav,212,Folk,"To be with you, when I, when I are right All my life, I have to say For the child"
000213.wav,213,Pop,countries youace existence Ethan
000255.wav,255,Rock,bands band band band band band band band band
000256.wav,256,Rock,"Run Notre Dame Hey Kathel Hрам worked out soon Now it's getting better Yeah, people like you Run to my side, day And knees and legends Down circular and ground No doubt at all Compared to me In tub murder snakes The world"
000368.wav,368,Rock,"I've got a rest. They're up there. But I believe they're coming on. But if you don't back back, you're midi. But they're looking in the back pliers. But they know all about the threat. They're just keeping it quiet. They're just keeping it quiet. They're just keeping it quiet."
000424.wav,424,Experimental,"I'm at the Applications near, I'm hard to care"
000459.wav,459,Rock,Dragon atom
000534.wav,534,Folk,"I'm dafür that I'll be free with a spoon, and paid in delight, and see you dribble, dribble, Starmons will notints, and a minute hastened, The three and 24 rounds are getting ready for the devils, Thank you."
000540.wav,540,Folk,"medicines Pied I had seen any news so The birds were trying crazy I was being loud Left to In The Night, What Shut Pick"
000546.wav,546,Folk,Let me go to the station Who can I say?
000574.wav,574,Rock,"I want a dream, I'm gonna lay down with a drugstore She's not a real family and a queen Story of the two of us are a dream, a dream I'll bury my family, I'll lay down with a dream I'll bury my family, I'll lay down with a dream She's not a little family and a queen Story of the three of us are a dream"
000602.wav,602,Folk,"I expected me to come in fast enough to investigate Front duct angular indirect What you love, what you love, what you love, what you love, what you love, what you love."
000615.wav,615,Experimental,[Instrumental]
000620.wav,620,Folk,[Instrumental]
000621.wav,621,Folk,Blue eye baby cries in a cradle Mama said to Papa Look at their minds Over the ocean in a great ship The captain said to the cabin boy Look at that water Oh yeah
000625.wav,625,Folk,"Richard was a minor, he dug a hole in the ground. He went down to find another sound."
000666.wav,666,International,[Instrumental]
000667.wav,667,International,[Instrumental]
000676.wav,676,Hip-Hop,Every nine months she's going to the trash can't babysitter turn them Hookers in my environment sex peace surprised how much to quit Some prostitutes came and sell a piece of clothes for a piece of bread and a can of tuna fish In his scheming theme the whole is foolish night of the living people's rule up You won't please get laughed at and you better know where you're getting
000690.wav,690,Rock,ゆき君 Administration
000694.wav,694,Hip-Hop,"You're a genius, you're a last, you're the prey high I'm walking when I got my talent shopping Take cover with your hidden beat Look, Spence, Black Bowsha Like quite a man feeling this old and green A bird that creeps at this look up a dry hand thing The other beat can really mean whatever you want to tell me I'm taking very vicious, slubby biscuits with these I spit cream With these I rap nice With these I got lines like Jack Koby's just tight Which means if really doesn't matter Would you bite, be so straight at dollars over that melt just me Like"
000695.wav,695,Hip-Hop,"It's like a freezer crate. You're a cow in the hole. If I'm gonna make you bought the leaves, I can't put it in your hole. Everybody likes to cut somebody. That is like a fucking dog. You know, I'm stupid. Don't get too spied you duplicate. It's so such a shit. You're a pretty new news to get. I'm like a beard and you don't like my stuff. I'm a beard and you don't like my stuff. Ask you. Look at it. It's a hundred dollar code. When you get those, is that the total for you shit? Oh, yes."
000704.wav,704,International,Tienes los cinecomos Están signed adocados de aquí Si секuda me dry Value
000705.wav,705,International,Creo que trientes los sinisteros Miniofel Quieroais llegar...
000706.wav,706,International,"Y casi que terminan en visita a la clínica donde le dan 11 con más mínima y les da y odazó los colecturas bíblicas así que más de sorgeras son bíblicas Cuida de niños se equilibren es mítica a veces seguimos protando Calipas, calipas Calipas, calipas"
000707.wav,707,International,Time to live over
000708.wav,708,International,7AS te hemos lidado Te ha ausamado tuweet o menos Te has tominute
000709.wav,709,International,O desde las tierras hasta el mal En el mundo del futuro Todos vamos a contar Y el siguiente es la vida de salud Ya estoy en que hace un para todo Ya estoy en la vida de la nacional Ya estoy en que seguirán desde el primer Y no lo desagúnde hasta el que Yo que hace un para todo Ya estoy en la vida de la nacional Estoy en el急
000714.wav,714,Folk,cham巴巴 Jersey
000715.wav,715,Folk,Sang 단 Com성 loukey
000716.wav,716,Folk,"quince, quince, quince, quince, quince, quince, quince, quince, quince, quince, quince, quince, quince, quince, quince, quince, quince, quince, quince, quince, quince, quince, quince, quince, quince, quince, quince, quince, quince, quince, quince, quince, quince, quince, quince, quince, quince, quince, quince, quince, quince, quince, quince, quince, quince, quince, quince, qu概 Hareоры,"
000718.wav,718,Folk,[Instrumental]
000777.wav,777,Rock,Tongue and throat. I relaxing. Allow the muscles in your head and face to go loose and heavy. All of your face and allow all of your forehead and scalp. You were born. I lived. But the little solitude on your arms. You're all. Throw this. Throw this. You're all. You're all.
000814.wav,814,Folk,But set of light All light in the name is To understand the world
000821.wav,821,Pop,So hey hey hey hey hey hey hey hey I like to keep it simple says what that means with how too many turns I don't waste words
000822.wav,822,Pop,I'm keeping track my freedoms are home
000825.wav,825,Rock,[Instrumental]
000853.wav,853,International,Thank you.
000890.wav,890,Folk,"Istanbul At theensional death, On Nி, In deeper dynamic distance, let theötzlichfully the rise and fallAN Master"
000892.wav,892,Folk,[Instrumental]
000897.wav,897,Experimental,groovy bass relationship
000993.wav,993,Rock,"Left to him! We are dancers better We can't miss All so fast All fast Yes! No, my head I can't throw세요 Women go fed All natural, even fed prevalent in oneuni Women go easy you can't sniff"
000995.wav,995,Experimental,Iron allen
000997.wav,997,Experimental,[Instrumental]
000998.wav,998,Experimental,[Instrumental]
